Monthly subscription fee: >$30 and ≤$100
Monthly token allowance | Subscription plan x served model
Default month = 4 weeks; Kimi monthly pool = 5× weekly; full utilization, all token types; APIs have no allowance
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. Same-name CN/global tiers are merged; fee and unit price use the international USD list ($19/$39/$99), ¥ is the domestic list price. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate (merged same-name Kimi tiers use the international USD list instead).
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                               Monthly fee     Served model         Monthly tokens (B)  USD/MTok  Confidence
---  ---------------------------------  --------------  -------------------  ------------------  --------  ----------
1    ChatGPT Pro 5x                     USD 100         GPT 5.6 Luna         37.556              0.00266   medium
2    Ollama Max                         USD 100         DeepSeek V4.1 Flash  36.3636             0.00275   medium
3    Ollama Max                         USD 100         DeepSeek V4 Flash    21.6372             0.00462   medium
4    Claude Max 5x (9/14+)              USD 100         Claude Sonnet 5      19.625              0.0051    low
5    GLM Coding Max (v2 ¥469) Off-peak  CNY 469         GLM 5.3 Flash        17.965              0.00385   high
6    GLM Coding Max (v2 ¥469) Midpoint  CNY 469         GLM 5.3 Flash        13.473              0.00514   high
7    Google AI Ultra 5x                 USD 99.99       Gemini 3.8 Flash     11.205              0.00892   low
8    GLM Coding Max (v2 ¥469) Peak      CNY 469         GLM 5.3 Flash        8.982               0.0077    high
9    MiMo Token Plan Max (Night 0.8x)   $100 · CN ¥659  MiMo V2.6 Flash      8.772               0.0114    medium
10   MiMo Token Plan Max (Night 0.8x)   $100 · CN ¥659  MiMo V2.5            8.772               0.0114    medium
11   Ollama Max                         USD 100         GLM 5.3 Flash        8.7655              0.01141   medium
12   Claude Max 5x (9/14+)              USD 100         Claude Opus 5        7.85                0.01274   medium
13   GLM Coding Pro (v3 ¥538) Off-peak  CNY 538         GLM 5.3 Flash        7.699               0.01031   high
14   MiniMax Token Plan Ultra           CNY 469         MiniMax M3           7.1                 0.00974   high
15   Ollama Max                         USD 100         DeepSeek V4 Pro      7.0472              0.01419   medium
16   MiMo Token Plan Max (Day)          $100 · CN ¥659  MiMo V2.6 Flash      7.018               0.01425   medium
17   MiMo Token Plan Max (Day)          $100 · CN ¥659  MiMo V2.5            7.018               0.01425   medium
18   ChatGPT Pro 5x                     USD 100         GPT 5.6 Terra        6.006               0.01665   medium
19   GLM Coding Max (v2 ¥469) Off-peak  CNY 469         GLM 5.3              5.926               0.01168   high
20   GLM Coding Pro (v3 ¥538) Midpoint  CNY 538         GLM 5.3 Flash        5.774               0.01375   high
21   Cursor Pro+ (Standard)             USD 60          Composer 2.5         5.3047              0.01131   low
22   MiniMax Token Plan Max (Global)    USD 55          MiniMax M3           5.1                 0.01078   high
23   Kimi Allegro †                     $99 · CN ¥699   Kimi K2.7 Code       4.704               0.02105   medium
24   GLM Coding Max (v2 ¥469) Midpoint  CNY 469         GLM 5.3              4.445               0.01557   high
