Monthly token allowance | Subscription plan x served model
Default month = 4 weeks; Kimi monthly pool = 5× weekly; full utilization, all token types; APIs have no allowance
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. Same-name CN/global tiers are merged; fee and unit price use the international USD list ($19/$39/$99), ¥ is the domestic list price. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate (merged same-name Kimi tiers use the international USD list instead).
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                   Monthly fee     Served model                Monthly tokens (B)  USD/MTok  Confidence
---  -------------------------------------  --------------  --------------------------  ------------------  --------  ----------
1    Step Plan Max (¥699)                   CNY 699         Step 3.5 Flash              173.16              0.0006    medium
2    ChatGPT Pro 20x                        USD 200         GPT 5.6 Luna                150.222             0.00133   medium
3    Step Plan Max (¥699)                   CNY 699         Step 3.7 Flash              85.883              0.0012    medium
4    Google AI Ultra 20x                    USD 199.99      Gemini 3.8 Flash            44.82               0.00446   low
5    Claude Max 20x (9/14+)                 USD 200         Claude Sonnet 5             39.25               0.0051    medium
6    ChatGPT Pro 5x                         USD 100         GPT 5.6 Luna                37.556              0.00266   medium
7    Step Plan Pro (¥199)                   CNY 199         Step 3.5 Flash              34.632              0.00085   medium
8    Ollama Max                             USD 100         DeepSeek V4.1 Flash         31.0559             0.00322   medium
9    Claude Max 20x (9/14+)                 USD 200         Claude Opus 5.5             30.17               0.00663   medium
10   Step Plan Max (¥699)                   CNY 699         Step 5 Preview              28.3186             0.00364   medium
11   ChatGPT Pro 20x                        USD 200         GPT 5.6 Terra               24.9552             0.00801   medium
12   Cursor Ultra (Standard)                USD 200         Composer 2.5                19.9608             0.01002   medium
13   Claude Max 5x (9/14+)                  USD 100         Claude Sonnet 5             19.625              0.0051    low
14   Ollama Max                             USD 100         DeepSeek V4 Flash           19.2431             0.0052    medium
15   MiMo Token Plan Max (Night 0.8x)       $100 · CN ¥659  MiMo V2.6 Flash             18.842              0.00531   medium
16   MiMo Token Plan Max (Night 0.8x)       $100 · CN ¥659  MiMo V2.5                   18.842              0.00531   medium
17   GLM Coding Max (v3 ¥1078) Off-peak     CNY 1078        GLM 5.3 Flash               17.481              0.0091    high
18   GLM Coding Max (v2 ¥469) Off-peak      CNY 469         GLM 5.3 Flash               17.481              0.00396   high
19   Step Plan Pro (¥199)                   CNY 199         Step 3.7 Flash              17.1766             0.00171   medium
20   Claude Max 20x (9/14+)                 USD 200         Claude Opus 5               15.7                0.01274   medium
21   Claude Max 20x (9/14+)                 USD 200         Claude Opus 4.8             15.7                0.01274   low
22   Claude Max 5x (9/14+)                  USD 100         Claude Opus 5.5             15.0852             0.00663   low
23   MiMo Token Plan Max (Day)              $100 · CN ¥659  MiMo V2.6 Flash             15.074              0.00663   medium
24   MiMo Token Plan Max (Day)              $100 · CN ¥659  MiMo V2.5                   15.074              0.00663   medium
25   GLM Coding Max (v3 ¥1078) Midpoint     CNY 1078        GLM 5.3 Flash               13.111              0.01213   high
26   GLM Coding Max (v2 ¥469) Midpoint      CNY 469         GLM 5.3 Flash               13.111              0.00528   high
27   ChatGPT Pro 20x                        USD 200         GPT 5.6 Sol                 12.902              0.0155    high
28   Google AI Ultra 5x                     USD 99.99       Gemini 3.8 Flash            11.205              0.00892   low
29   OpenCode Go                            USD 10          Muse Spark 1.3 Contributor  11.0294             0.00091   medium
30   OpenCode Go                            USD 10          Muse Spark 1.2 Contributor  11.0294             0.00091   medium
31   ChatGPT Pro 20x                        USD 200         GPT 5.5                     9.9821              0.02004   medium
32   MiniMax Token Plan Ultra (Global)      USD 132         MiniMax M3                  9.8                 0.01347   high
33   GLM Coding Max (v3 ¥1078) Peak         CNY 1078        GLM 5.3 Flash               8.74                0.0182    high
34   GLM Coding Max (v2 ¥469) Peak          CNY 469         GLM 5.3 Flash               8.74                0.00792   high
35   MiMo Token Plan Pro (Night 0.8x)       $50 · CN ¥329   MiMo V2.6 Flash             8.732               0.00573   medium
36   MiMo Token Plan Pro (Night 0.8x)       $50 · CN ¥329   MiMo V2.5                   8.732               0.00573   medium
37   Ollama Max                             USD 100         GLM 5.3 Flash               8.4866              0.01178   medium
38   MiMo Token Plan Max (Night 0.8x)       $100 · CN ¥659  MiMo V2.6 Pro               7.93                0.01261   medium
39   MiMo Token Plan Max (Night 0.8x)       $100 · CN ¥659  MiMo V2.5 Pro               7.93                0.01261   medium
40   OpenCode Go                            USD 10          MiMo V2.5                   7.8782              0.00127   medium
41   OpenCode Go                            USD 10          MiMo V2.6 Flash             7.8782              0.00127   medium
42   Claude Max 5x (9/14+)                  USD 100         Claude Opus 5               7.85                0.01274   medium
43   Cursor Ultra                           USD 200         Grok 4.6                    7.737               0.02585   medium
44   Cursor Ultra                           USD 200         Grok 4.5                    7.737               0.02585   medium
45   ChatGPT Plus                           USD 20          GPT 5.6 Luna                7.511               0.00266   high
46   GLM Coding Pro (v3 ¥538) Off-peak      CNY 538         GLM 5.3 Flash               7.492               0.01059   high
47   GLM Coding Pro (v2 ¥149) Off-peak      CNY 149         GLM 5.3 Flash               7.492               0.00293   high
48   MiniMax Token Plan Ultra               CNY 469         MiniMax M3                  7.1                 0.00974   high
49   MiMo Token Plan Pro (Day)              $50 · CN ¥329   MiMo V2.6 Flash             6.985               0.00716   medium
50   MiMo Token Plan Pro (Day)              $50 · CN ¥329   MiMo V2.5                   6.985               0.00716   medium
51   Step Plan Plus (¥99)                   CNY 99          Step 3.5 Flash              6.9264              0.00211   medium
52   Cursor Ultra (Composer Fast)           USD 200         Composer 2.5                6.8841              0.02905   medium
53   Devin Max                              USD 200         Claude Opus 5.5             6.69                0.0299    medium
54   MiMo Token Plan Max (Day)              $100 · CN ¥659  MiMo V2.6 Pro               6.344               0.01576   medium
55   MiMo Token Plan Max (Day)              $100 · CN ¥659  MiMo V2.5 Pro               6.344               0.01576   medium
56   Ollama Max                             USD 100         DeepSeek V4 Pro             6.284               0.01591   medium
57   Ollama Pro                             USD 20          DeepSeek V4.1 Flash         6.2112              0.00322   medium
58   ChatGPT Pro 5x                         USD 100         GPT 5.6 Terra               5.9574              0.01679   medium
59   GLM Coding Max (v3 ¥1078) Off-peak     CNY 1078        GLM 5.3                     5.769               0.02757   high
60   GLM Coding Max (v2 ¥469) Off-peak      CNY 469         GLM 5.3                     5.769               0.01199   high
61   Step Plan Pro (¥199)                   CNY 199         Step 5 Preview              5.6637              0.00518   medium
62   GLM Coding Pro (v3 ¥538) Midpoint      CNY 538         GLM 5.3 Flash               5.619               0.01412   high
63   GLM Coding Pro (v2 ¥149) Midpoint      CNY 149         GLM 5.3 Flash               5.619               0.00391   high
64   Cursor Pro+ (Standard)                 USD 60          Composer 2.5                5.3229              0.01127   low
65   MiniMax Token Plan Max (Global)        USD 55          MiniMax M3                  5.1                 0.01078   high
66   SuperGrok Heavy                        USD 300         Grok 4.6                    5.09                0.05894   medium
67   SuperGrok Heavy                        USD 300         Grok 4.5                    5.09                0.05894   medium
68   SuperGrok Heavy                        USD 300         Grok 4.7                    4.97                0.06036   medium
69   Kimi Allegro †                         $99 · CN ¥699   Kimi K2.7 Code              4.704               0.02105   medium
70   Claude Pro                             USD 20          Claude Sonnet 5             4.695               0.00426   medium
71   Kimi Allegro †                         $99 · CN ¥699   Kimi K3                     4.353               0.02274   medium
72   GLM Coding Max (v3 ¥1078) Midpoint     CNY 1078        GLM 5.3                     4.327               0.03675   high
73   GLM Coding Max (v2 ¥469) Midpoint      CNY 469         GLM 5.3                     4.327               0.01599   high
74   Ollama Max                             USD 100         MiniMax M2.7                4.1841              0.0239    medium
75   Command Code GOAT                      USD 10          DeepSeek V4.1 Flash         4.1408              0.00241   medium
76   ChatGPT Plus                           USD 20          GPT-6 Luna                  4.08                0.0049    medium
77   Command Code GOAT                      USD 10          MiMo V2.5                   3.9391              0.00254   medium
78   Command Code GOAT                      USD 10          MiMo V2.6 Flash             3.9391              0.00254   medium
79   Ollama Pro                             USD 20          DeepSeek V4 Flash           3.8486              0.0052    medium
80   ChatGPT Pro 20x                        USD 200         GPT-6 Astra                 3.812               0.05247   medium
81   GLM Coding Pro (v3 ¥538) Peak          CNY 538         GLM 5.3 Flash               3.746               0.02119   high
82   GLM Coding Pro (v2 ¥149) Peak          CNY 149         GLM 5.3 Flash               3.746               0.00587   high
83   Command Code GOAT                      USD 10          Muse Spark 1.3 Contributor  3.6765              0.00272   medium
84   Command Code GOAT                      USD 10          Muse Spark 1.2 Contributor  3.6765              0.00272   medium
85   MiMo Token Plan Pro (Night 0.8x)       $50 · CN ¥329   MiMo V2.6 Pro               3.675               0.01361   medium
86   MiMo Token Plan Pro (Night 0.8x)       $50 · CN ¥329   MiMo V2.5 Pro               3.675               0.01361   medium
87   Claude Pro                             USD 20          Claude Opus 5.5             3.6089              0.00554   low
88   Step Plan Plus (¥99)                   CNY 99          Step 3.7 Flash              3.4353              0.00425   medium
89   OpenCode Go                            USD 10          LongCat 2.0                 3.1056              0.00322   medium
90   ChatGPT Pro 5x                         USD 100         GPT 5.6 Sol                 3.08                0.03247   medium
91   Cursor Ultra (Fast)                    USD 200         Grok 4.6                    3.074               0.06506   high
92   MiMo Token Plan Pro (Day)              $50 · CN ¥329   MiMo V2.6 Pro               2.94                0.01701   medium
93   MiMo Token Plan Pro (Day)              $50 · CN ¥329   MiMo V2.5 Pro               2.94                0.01701   medium
94   GLM Coding Max (v3 ¥1078) Peak         CNY 1078        GLM 5.3                     2.884               0.05514   high
95   GLM Coding Max (v2 ¥469) Peak          CNY 469         GLM 5.3                     2.884               0.02399   high
96   MiMo Token Plan Standard (Night 0.8x)  $16 · CN ¥99    MiMo V2.6 Flash             2.528               0.00633   medium
97   MiMo Token Plan Standard (Night 0.8x)  $16 · CN ¥99    MiMo V2.5                   2.528               0.00633   medium
98   GLM Coding Pro (v3 ¥538) Off-peak      CNY 538         GLM 5.3                     2.472               0.03211   high
99   GLM Coding Pro (v2 ¥149) Off-peak      CNY 149         GLM 5.3                     2.472               0.00889   high
100  ChatGPT Pro 5x                         USD 100         GPT 5.5                     2.3829              0.04197   medium
101  Google AI Pro                          USD 19.99       Gemini 3.8 Flash            2.241               0.00892   high
102  Ollama Max                             USD 100         MiniMax M3                  2.0921              0.0478    medium
103  Cursor Pro+                            USD 60          Grok 4.6                    2.0632              0.02908   medium
104  SuperGrok Plus                         USD 100         Grok 4.6                    2.04                0.04902   medium
105  MiMo Token Plan Standard (Day)         $16 · CN ¥99    MiMo V2.6 Flash             2.022               0.00791   medium
106  MiMo Token Plan Standard (Day)         $16 · CN ¥99    MiMo V2.5                   2.022               0.00791   medium
107  SuperGrok Plus                         USD 100         Grok 4.7                    1.99                0.05025   medium
108  Claude Pro                             USD 20          Claude Opus 5               1.878               0.01065   high
109  Claude Pro                             USD 20          Claude Opus 4.8             1.878               0.01065   low
110  GLM Coding Pro (v3 ¥538) Midpoint      CNY 538         GLM 5.3                     1.854               0.04281   high
111  GLM Coding Pro (v2 ¥149) Midpoint      CNY 149         GLM 5.3                     1.854               0.01186   high
112  Cursor Pro+ (Composer Fast)            USD 60          Composer 2.5                1.8358              0.03268   low
